Open Circuits miRNA_TF_mRNA 1


TF		miRNA		mRNA

ATF3	|------	miR-143-3p	------|	POLR3H

ATF3	|------	miR-143-3p	------|	PTGS2

ATF3	|------	miR-143-3p	------|	RASAL2

ATF3	|------	miR-143-3p	------|	RASSF6

ATF3	|------	miR-143-3p	------|	RIMS3

ATF3	|------	miR-143-3p	------|	SLC25A15

ATF3	|------	miR-143-3p	------|	SLC38A2

ATF3	|------	miR-143-3p	------|	SLC38A9

ATF3	|------	miR-143-3p	------|	THRA

ATF3	|------	miR-143-3p	------|	THRB

ATF3	|------	miR-143-3p	------|	TMEM132B

ATF3	|------	miR-143-3p	------|	UBE3C

ATF3	|------	miR-143-3p	------|	ZBTB16

ATF3	|------	miR-143-3p	------|	ZBTB20

ATF3	|------	miR-143-3p	------|	ZBTB44

ATF3	|------	miR-143-3p	------|	ZHX3

PBX3	|------	miR-143-3p	------|	ANKFY1

PBX3	|------	miR-143-3p	------|	ARHGAP26

PBX3	|------	miR-143-3p	------|	ARL6

PBX3	|------	miR-143-3p	------|	ASXL2

PBX3	|------	miR-143-3p	------|	BCL2

PBX3	|------	miR-143-3p	------|	BMPR1A

PBX3	|------	miR-143-3p	------|	CAT

PBX3	|------	miR-143-3p	------|	COL27A1

PBX3	|------	miR-143-3p	------|	CPD

PBX3	|------	miR-143-3p	------|	DST

PBX3	|------	miR-143-3p	------|	EFS

PBX3	|------	miR-143-3p	------|	EGLN1

PBX3	|------	miR-143-3p	------|	FGF1

PBX3	|------	miR-143-3p	------|	FRAS1

PBX3	|------	miR-143-3p	------|	GLRA3

PBX3	|------	miR-143-3p	------|	HIPK2

PBX3	|------	miR-143-3p	------|	INO80D

PBX3	|------	miR-143-3p	------|	ITGB1BP1

PBX3	|------	miR-143-3p	------|	ITGB8

PBX3	|------	miR-143-3p	------|	KANK4

PBX3	|------	miR-143-3p	------|	KMT2D

PBX3	|------	miR-143-3p	------|	LARP4

PBX3	|------	miR-143-3p	------|	LIMK2

PBX3	|------	miR-143-3p	------|	MAP1B

PBX3	|------	miR-143-3p	------|	MAPK7

PBX3	|------	miR-143-3p	------|	MYO9A

PBX3	|------	miR-143-3p	------|	N4BP2L1

PBX3	|------	miR-143-3p	------|	NCBP1

PBX3	|------	miR-143-3p	------|	NCOA7

PBX3	|------	miR-143-3p	------|	NOVA1

PBX3	|------	miR-143-3p	------|	NOVA2

PBX3	|------	miR-143-3p	------|	NRG1

PBX3	|------	miR-143-3p	------|	PC

PBX3	|------	miR-143-3p	------|	PDGFRA

PBX3	|------	miR-143-3p	------|	PDK3

PBX3	|------	miR-143-3p	------|	POLR3H

PBX3	|------	miR-143-3p	------|	PTGS2

PBX3	|------	miR-143-3p	------|	RASAL2

PBX3	|------	miR-143-3p	------|	RASSF6

PBX3	|------	miR-143-3p	------|	RIMS3

PBX3	|------	miR-143-3p	------|	SLC25A15

PBX3	|------	miR-143-3p	------|	SLC38A2

PBX3	|------	miR-143-3p	------|	SLC38A9

PBX3	|------	miR-143-3p	------|	THRA

PBX3	|------	miR-143-3p	------|	THRB

PBX3	|------	miR-143-3p	------|	TMEM132B

PBX3	|------	miR-143-3p	------|	UBE3C

PBX3	|------	miR-143-3p	------|	ZBTB16

PBX3	|------	miR-143-3p	------|	ZBTB20

PBX3	|------	miR-143-3p	------|	ZBTB44

PBX3	|------	miR-143-3p	------|	ZHX3

RARG	|------	miR-143-3p	------|	ANKFY1

RARG	|------	miR-143-3p	------|	ARHGAP26

RARG	|------	miR-143-3p	------|	ARL6

RARG	|------	miR-143-3p	------|	ASXL2

RARG	|------	miR-143-3p	------|	BCL2

RARG	|------	miR-143-3p	------|	BMPR1A

RARG	|------	miR-143-3p	------|	CAT

RARG	|------	miR-143-3p	------|	COL27A1

RARG	|------	miR-143-3p	------|	CPD

RARG	|------	miR-143-3p	------|	DST

RARG	|------	miR-143-3p	------|	EFS

RARG	|------	miR-143-3p	------|	EGLN1

RARG	|------	miR-143-3p	------|	FGF1

RARG	|------	miR-143-3p	------|	FRAS1

RARG	|------	miR-143-3p	------|	GLRA3

RARG	|------	miR-143-3p	------|	HIPK2

RARG	|------	miR-143-3p	------|	INO80D

RARG	|------	miR-143-3p	------|	ITGB1BP1

RARG	|------	miR-143-3p	------|	ITGB8

RARG	|------	miR-143-3p	------|	KANK4

RARG	|------	miR-143-3p	------|	KMT2D

RARG	|------	miR-143-3p	------|	LARP4

RARG	|------	miR-143-3p	------|	LIMK2

RARG	|------	miR-143-3p	------|	MAP1B

RARG	|------	miR-143-3p	------|	MAPK7

RARG	|------	miR-143-3p	------|	MYO9A

RARG	|------	miR-143-3p	------|	N4BP2L1

RARG	|------	miR-143-3p	------|	NCBP1

RARG	|------	miR-143-3p	------|	NCOA7

RARG	|------	miR-143-3p	------|	NOVA1

RARG	|------	miR-143-3p	------|	NOVA2

RARG	|------	miR-143-3p	------|	NRG1

RARG	|------	miR-143-3p	------|	PC

RARG	|------	miR-143-3p	------|	PDGFRA

RARG	|------	miR-143-3p	------|	PDK3

RARG	|------	miR-143-3p	------|	POLR3H

RARG	|------	miR-143-3p	------|	PTGS2

RARG	|------	miR-143-3p	------|	RASAL2

RARG	|------	miR-143-3p	------|	RASSF6

RARG	|------	miR-143-3p	------|	RIMS3

RARG	|------	miR-143-3p	------|	SLC25A15

RARG	|------	miR-143-3p	------|	SLC38A2

RARG	|------	miR-143-3p	------|	SLC38A9

RARG	|------	miR-143-3p	------|	THRA

RARG	|------	miR-143-3p	------|	THRB

RARG	|------	miR-143-3p	------|	TMEM132B

RARG	|------	miR-143-3p	------|	UBE3C

RARG	|------	miR-143-3p	------|	ZBTB16

RARG	|------	miR-143-3p	------|	ZBTB20

RARG	|------	miR-143-3p	------|	ZBTB44

RARG	|------	miR-143-3p	------|	ZHX3

ZNF395	|------	miR-143-3p	------|	ANKFY1

ZNF395	|------	miR-143-3p	------|	ARHGAP26

ZNF395	|------	miR-143-3p	------|	ARL6

ZNF395	|------	miR-143-3p	------|	ASXL2

ZNF395	|------	miR-143-3p	------|	BCL2

ZNF395	|------	miR-143-3p	------|	BMPR1A

ZNF395	|------	miR-143-3p	------|	CAT

ZNF395	|------	miR-143-3p	------|	COL27A1

ZNF395	|------	miR-143-3p	------|	CPD

ZNF395	|------	miR-143-3p	------|	DST

ZNF395	|------	miR-143-3p	------|	EFS

ZNF395	|------	miR-143-3p	------|	EGLN1

ZNF395	|------	miR-143-3p	------|	FGF1

ZNF395	|------	miR-143-3p	------|	FRAS1

ZNF395	|------	miR-143-3p	------|	GLRA3

ZNF395	|------	miR-143-3p	------|	HIPK2

ZNF395	|------	miR-143-3p	------|	INO80D

ZNF395	|------	miR-143-3p	------|	ITGB1BP1

ZNF395	|------	miR-143-3p	------|	ITGB8

ZNF395	|------	miR-143-3p	------|	KANK4

ZNF395	|------	miR-143-3p	------|	KMT2D

ZNF395	|------	miR-143-3p	------|	LARP4

ZNF395	|------	miR-143-3p	------|	LIMK2

ZNF395	|------	miR-143-3p	------|	MAP1B

ZNF395	|------	miR-143-3p	------|	MAPK7

ZNF395	|------	miR-143-3p	------|	MYO9A

ZNF395	|------	miR-143-3p	------|	N4BP2L1

ZNF395	|------	miR-143-3p	------|	NCBP1

ZNF395	|------	miR-143-3p	------|	NCOA7

ZNF395	|------	miR-143-3p	------|	NOVA1

ZNF395	|------	miR-143-3p	------|	NOVA2

ZNF395	|------	miR-143-3p	------|	NRG1

ZNF395	|------	miR-143-3p	------|	PC

ZNF395	|------	miR-143-3p	------|	PDGFRA

ZNF395	|------	miR-143-3p	------|	PDK3

ZNF395	|------	miR-143-3p	------|	POLR3H

ZNF395	|------	miR-143-3p	------|	PTGS2

ZNF395	|------	miR-143-3p	------|	RASAL2

ZNF395	|------	miR-143-3p	------|	RASSF6

ZNF395	|------	miR-143-3p	------|	RIMS3

ZNF395	|------	miR-143-3p	------|	SLC25A15

ZNF395	|------	miR-143-3p	------|	SLC38A2

ZNF395	|------	miR-143-3p	------|	SLC38A9

ZNF395	|------	miR-143-3p	------|	THRA

ZNF395	|------	miR-143-3p	------|	THRB

ZNF395	|------	miR-143-3p	------|	TMEM132B

ZNF395	|------	miR-143-3p	------|	UBE3C

ZNF395	|------	miR-143-3p	------|	ZBTB16

ZNF395	|------	miR-143-3p	------|	ZBTB20

ZNF395	|------	miR-143-3p	------|	ZBTB44

ZNF395	|------	miR-143-3p	------|	ZHX3

BACH2	|------	miR-409-3p	------|	ADAMTS5

BACH2	|------	miR-409-3p	------|	ANKFY1

BACH2	|------	miR-409-3p	------|	AQP4

BACH2	|------	miR-409-3p	------|	ATXN3

BACH2	|------	miR-409-3p	------|	CDC42EP4

BACH2	|------	miR-409-3p	------|	CDH19

BACH2	|------	miR-409-3p	------|	CXCL1

BACH2	|------	miR-409-3p	------|	DCUN1D1

BACH2	|------	miR-409-3p	------|	DCUN1D3

BACH2	|------	miR-409-3p	------|	EGR3

BACH2	|------	miR-409-3p	------|	GAB1

BACH2	|------	miR-409-3p	------|	KCNH1

BACH2	|------	miR-409-3p	------|	LARP4

BACH2	|------	miR-409-3p	------|	LGSN

BACH2	|------	miR-409-3p	------|	MME

BACH2	|------	miR-409-3p	------|	MPP7

BACH2	|------	miR-409-3p	------|	MYLK

BACH2	|------	miR-409-3p	------|	NFIX

BACH2	|------	miR-409-3p	------|	NR3C2

BACH2	|------	miR-409-3p	------|	RAPGEF4

BACH2	|------	miR-409-3p	------|	SLC31A1

BACH2	|------	miR-409-3p	------|	SPIN1

BACH2	|------	miR-409-3p	------|	SPRED1

BACH2	|------	miR-409-3p	------|	SRI

BACH2	|------	miR-409-3p	------|	TGFBR3

BACH2	|------	miR-409-3p	------|	ZADH2

BACH2	|------	miR-409-3p	------|	ZBTB20

BACH2	|------	miR-409-3p	------|	ZNF207

BACH2	|------	miR-137	------|	ADAMTS5

BACH2	|------	miR-137	------|	AJUBA

BACH2	|------	miR-137	------|	ANKRD28

BACH2	|------	miR-137	------|	ANO8

BACH2	|------	miR-137	------|	ARHGAP5

BACH2	|------	miR-137	------|	ASXL2

BACH2	|------	miR-137	------|	ATP11B

BACH2	|------	miR-137	------|	ATP1B1

BACH2	|------	miR-137	------|	ATXN1L

BACH2	|------	miR-137	------|	B3GALNT2

BACH2	|------	miR-137	------|	BAG4

BACH2	|------	miR-137	------|	BBX

BACH2	|------	miR-137	------|	C2orf57

BACH2	|------	miR-137	------|	CADM2

BACH2	|------	miR-137	------|	CALD1

BACH2	|------	miR-137	------|	CALN1

BACH2	|------	miR-137	------|	CDCA7L

BACH2	|------	miR-137	------|	CHD9

BACH2	|------	miR-137	------|	CHIC2

BACH2	|------	miR-137	------|	CHST9

BACH2	|------	miR-137	------|	CLDN11

BACH2	|------	miR-137	------|	CNOT6L

BACH2	|------	miR-137	------|	CPD

BACH2	|------	miR-137	------|	CPLX1

BACH2	|------	miR-137	------|	CTDSP2

BACH2	|------	miR-137	------|	CTDSPL

BACH2	|------	miR-137	------|	CTSF

BACH2	|------	miR-137	------|	CXADR

BACH2	|------	miR-137	------|	DAB2IP

BACH2	|------	miR-137	------|	DCBLD2

BACH2	|------	miR-137	------|	DCDC2

BACH2	|------	miR-137	------|	DCUN1D1

BACH2	|------	miR-137	------|	DCUN1D3

BACH2	|------	miR-137	------|	DFFB

BACH2	|------	miR-137	------|	DUSP1

BACH2	|------	miR-137	------|	DUSP16

BACH2	|------	miR-137	------|	DUSP4

BACH2	|------	miR-137	------|	EFCAB14

BACH2	|------	miR-137	------|	EGFR

BACH2	|------	miR-137	------|	EIF1

BACH2	|------	miR-137	------|	ELOVL2

BACH2	|------	miR-137	------|	EPHA7

BACH2	|------	miR-137	------|	FAM210B

BACH2	|------	miR-137	------|	FANCM

BACH2	|------	miR-137	------|	FBXO32

BACH2	|------	miR-137	------|	FGD4

BACH2	|------	miR-137	------|	FOXN3

BACH2	|------	miR-137	------|	FUT9

BACH2	|------	miR-137	------|	GAD2

BACH2	|------	miR-137	------|	GFPT1

BACH2	|------	miR-137	------|	GLRA3

BACH2	|------	miR-137	------|	GRAMD3

BACH2	|------	miR-137	------|	HIPK2

BACH2	|------	miR-137	------|	HLF

BACH2	|------	miR-137	------|	HMGCLL1

BACH2	|------	miR-137	------|	HNRNPA3

BACH2	|------	miR-137	------|	HOXA3

BACH2	|------	miR-137	------|	HOXD10

BACH2	|------	miR-137	------|	IMPA2

BACH2	|------	miR-137	------|	INSR

BACH2	|------	miR-137	------|	KANK4

BACH2	|------	miR-137	------|	KCNH1

BACH2	|------	miR-137	------|	KIT

BACH2	|------	miR-137	------|	LIMCH1

BACH2	|------	miR-137	------|	LUZP1

BACH2	|------	miR-137	------|	NCOA1

BACH2	|------	miR-137	------|	NFIB

BACH2	|------	miR-137	------|	NFIX

BACH2	|------	miR-137	------|	NLGN4X

BACH2	|------	miR-137	------|	NOVA1

BACH2	|------	miR-137	------|	NOVA2

BACH2	|------	miR-137	------|	NPAS3

BACH2	|------	miR-137	------|	NR3C2

BACH2	|------	miR-137	------|	NRG1

BACH2	|------	miR-137	------|	NSG1

BACH2	|------	miR-137	------|	PADI2

BACH2	|------	miR-137	------|	PAFAH1B2

BACH2	|------	miR-137	------|	PAK3

BACH2	|------	miR-137	------|	PAPPA

BACH2	|------	miR-137	------|	PDE4D

BACH2	|------	miR-137	------|	PDGFRA

BACH2	|------	miR-137	------|	PDLIM3

BACH2	|------	miR-137	------|	PLEKHA5

BACH2	|------	miR-137	------|	PLK2

BACH2	|------	miR-137	------|	PLXNB2

BACH2	|------	miR-137	------|	PPP1CB

BACH2	|------	miR-137	------|	PPP6C

BACH2	|------	miR-137	------|	PPP6R3

BACH2	|------	miR-137	------|	PROX1

BACH2	|------	miR-137	------|	PTN

BACH2	|------	miR-137	------|	QSER1

BACH2	|------	miR-137	------|	RASAL2

BACH2	|------	miR-137	------|	RIMS3

BACH2	|------	miR-137	------|	RNF150

BACH2	|------	miR-137	------|	RRAGD

BACH2	|------	miR-137	------|	SBNO1

BACH2	|------	miR-137	------|	SFXN5

BACH2	|------	miR-137	------|	SHANK2

BACH2	|------	miR-137	------|	SLAMF9

BACH2	|------	miR-137	------|	SLC30A5

BACH2	|------	miR-137	------|	SLC43A2

BACH2	|------	miR-137	------|	SLC4A7

BACH2	|------	miR-137	------|	SLMAP

BACH2	|------	miR-137	------|	STAC2

BACH2	|------	miR-137	------|	STC2

BACH2	|------	miR-137	------|	STXBP5L

BACH2	|------	miR-137	------|	SUB1

BACH2	|------	miR-137	------|	SUGP2

BACH2	|------	miR-137	------|	TDRD7

BACH2	|------	miR-137	------|	TEAD1

BACH2	|------	miR-137	------|	TGFA

BACH2	|------	miR-137	------|	THRB

BACH2	|------	miR-137	------|	TM4SF1

BACH2	|------	miR-137	------|	TMEM132B

BACH2	|------	miR-137	------|	TMF1

BACH2	|------	miR-137	------|	TNC

BACH2	|------	miR-137	------|	TRPC4

BACH2	|------	miR-137	------|	TTC6

BACH2	|------	miR-137	------|	TTC9

BACH2	|------	miR-137	------|	UBE2H

BACH2	|------	miR-137	------|	UBE3C

BACH2	|------	miR-137	------|	UBXN2A

BACH2	|------	miR-137	------|	VPS13A

BACH2	|------	miR-137	------|	WIF1

BACH2	|------	miR-137	------|	YBX3

BACH2	|------	miR-137	------|	ZADH2

BACH2	|------	miR-137	------|	ZBTB20

BACH2	|------	miR-137	------|	ZBTB4

BACH2	|------	miR-137	------|	ZBTB44

BACH2	|------	miR-137	------|	ZBTB47

BACH2	|------	miR-137	------|	ZCCHC2

BACH2	|------	miR-137	------|	ZFYVE16

BACH2	|------	miR-137	------|	ZNF385B

PBX3	|------	miR-137	------|	ADAMTS5

PBX3	|------	miR-137	------|	AJUBA

PBX3	|------	miR-137	------|	ANKRD28

PBX3	|------	miR-137	------|	ANO8

PBX3	|------	miR-137	------|	ARHGAP5

PBX3	|------	miR-137	------|	ASXL2

PBX3	|------	miR-137	------|	ATP11B

PBX3	|------	miR-137	------|	ATP1B1

PBX3	|------	miR-137	------|	ATXN1L

PBX3	|------	miR-137	------|	B3GALNT2

PBX3	|------	miR-137	------|	BAG4

PBX3	|------	miR-137	------|	BBX

PBX3	|------	miR-137	------|	C2orf57

PBX3	|------	miR-137	------|	CADM2

PBX3	|------	miR-137	------|	CALD1

PBX3	|------	miR-137	------|	CALN1

PBX3	|------	miR-137	------|	CDCA7L

PBX3	|------	miR-137	------|	CHD9

PBX3	|------	miR-137	------|	CHIC2

PBX3	|------	miR-137	------|	CHST9

PBX3	|------	miR-137	------|	CLDN11

PBX3	|------	miR-137	------|	CNOT6L

PBX3	|------	miR-137	------|	CPD

PBX3	|------	miR-137	------|	CPLX1

PBX3	|------	miR-137	------|	CTDSP2

PBX3	|------	miR-137	------|	CTDSPL

PBX3	|------	miR-137	------|	CTSF

PBX3	|------	miR-137	------|	CXADR

PBX3	|------	miR-137	------|	DAB2IP

PBX3	|------	miR-137	------|	DCBLD2

PBX3	|------	miR-137	------|	DCDC2

PBX3	|------	miR-137	------|	DCUN1D1

PBX3	|------	miR-137	------|	DCUN1D3

PBX3	|------	miR-137	------|	DFFB

PBX3	|------	miR-137	------|	DUSP1

PBX3	|------	miR-137	------|	DUSP16

PBX3	|------	miR-137	------|	DUSP4

PBX3	|------	miR-137	------|	EFCAB14

PBX3	|------	miR-137	------|	EGFR

PBX3	|------	miR-137	------|	EIF1

PBX3	|------	miR-137	------|	ELOVL2

PBX3	|------	miR-137	------|	EPHA7

PBX3	|------	miR-137	------|	FAM210B

PBX3	|------	miR-137	------|	FANCM

PBX3	|------	miR-137	------|	FBXO32

PBX3	|------	miR-137	------|	FGD4

PBX3	|------	miR-137	------|	FOXN3

PBX3	|------	miR-137	------|	FUT9

PBX3	|------	miR-137	------|	GAD2

PBX3	|------	miR-137	------|	GFPT1

PBX3	|------	miR-137	------|	GLRA3

PBX3	|------	miR-137	------|	GRAMD3

PBX3	|------	miR-137	------|	HIPK2

PBX3	|------	miR-137	------|	HLF

PBX3	|------	miR-137	------|	HMGCLL1

PBX3	|------	miR-137	------|	HNRNPA3

PBX3	|------	miR-137	------|	HOXA3

PBX3	|------	miR-137	------|	HOXD10

PBX3	|------	miR-137	------|	IMPA2

PBX3	|------	miR-137	------|	INSR

PBX3	|------	miR-137	------|	KANK4

PBX3	|------	miR-137	------|	KCNH1

PBX3	|------	miR-137	------|	KIT

PBX3	|------	miR-137	------|	LIMCH1

PBX3	|------	miR-137	------|	LUZP1

PBX3	|------	miR-137	------|	NCOA1

PBX3	|------	miR-137	------|	NFIB

PBX3	|------	miR-137	------|	NFIX

PBX3	|------	miR-137	------|	NLGN4X

PBX3	|------	miR-137	------|	NOVA1

PBX3	|------	miR-137	------|	NOVA2

PBX3	|------	miR-137	------|	NPAS3

PBX3	|------	miR-137	------|	NR3C2

PBX3	|------	miR-137	------|	NRG1

PBX3	|------	miR-137	------|	NSG1

PBX3	|------	miR-137	------|	PADI2

PBX3	|------	miR-137	------|	PAFAH1B2

PBX3	|------	miR-137	------|	PAK3

PBX3	|------	miR-137	------|	PAPPA

PBX3	|------	miR-137	------|	PDE4D

PBX3	|------	miR-137	------|	PDGFRA

PBX3	|------	miR-137	------|	PDLIM3

PBX3	|------	miR-137	------|	PLEKHA5

PBX3	|------	miR-137	------|	PLK2

PBX3	|------	miR-137	------|	PLXNB2

PBX3	|------	miR-137	------|	PPP1CB

PBX3	|------	miR-137	------|	PPP6C

PBX3	|------	miR-137	------|	PPP6R3

PBX3	|------	miR-137	------|	PROX1

PBX3	|------	miR-137	------|	PTN

PBX3	|------	miR-137	------|	QSER1

PBX3	|------	miR-137	------|	RASAL2

PBX3	|------	miR-137	------|	RIMS3

PBX3	|------	miR-137	------|	RNF150

PBX3	|------	miR-137	------|	RRAGD

PBX3	|------	miR-137	------|	SBNO1

PBX3	|------	miR-137	------|	SFXN5

PBX3	|------	miR-137	------|	SHANK2

PBX3	|------	miR-137	------|	SLAMF9

PBX3	|------	miR-137	------|	SLC30A5

PBX3	|------	miR-137	------|	SLC43A2

PBX3	|------	miR-137	------|	SLC4A7

PBX3	|------	miR-137	------|	SLMAP

PBX3	|------	miR-137	------|	STAC2

PBX3	|------	miR-137	------|	STC2

PBX3	|------	miR-137	------|	STXBP5L

PBX3	|------	miR-137	------|	SUB1

PBX3	|------	miR-137	------|	SUGP2

PBX3	|------	miR-137	------|	TDRD7

PBX3	|------	miR-137	------|	TEAD1

PBX3	|------	miR-137	------|	TGFA

PBX3	|------	miR-137	------|	THRB

PBX3	|------	miR-137	------|	TM4SF1

PBX3	|------	miR-137	------|	TMEM132B

PBX3	|------	miR-137	------|	TMF1

PBX3	|------	miR-137	------|	TNC

PBX3	|------	miR-137	------|	TRPC4

PBX3	|------	miR-137	------|	TTC6

PBX3	|------	miR-137	------|	TTC9

PBX3	|------	miR-137	------|	UBE2H

PBX3	|------	miR-137	------|	UBE3C

PBX3	|------	miR-137	------|	UBXN2A

PBX3	|------	miR-137	------|	VPS13A

PBX3	|------	miR-137	------|	WIF1

PBX3	|------	miR-137	------|	YBX3

PBX3	|------	miR-137	------|	ZADH2

PBX3	|------	miR-137	------|	ZBTB20

PBX3	|------	miR-137	------|	ZBTB4

PBX3	|------	miR-137	------|	ZBTB44

PBX3	|------	miR-137	------|	ZBTB47

PBX3	|------	miR-137	------|	ZCCHC2

PBX3	|------	miR-137	------|	ZFYVE16

PBX3	|------	miR-137	------|	ZNF385B

SP1	|------	miR-137	------|	ADAMTS5

SP1	|------	miR-137	------|	AJUBA

SP1	|------	miR-137	------|	ANKRD28

SP1	|------	miR-137	------|	ANO8

SP1	|------	miR-137	------|	ARHGAP5

SP1	|------	miR-137	------|	ASXL2

SP1	|------	miR-137	------|	ATP11B

SP1	|------	miR-137	------|	ATP1B1

SP1	|------	miR-137	------|	ATXN1L

SP1	|------	miR-137	------|	B3GALNT2

SP1	|------	miR-137	------|	BAG4

SP1	|------	miR-137	------|	BBX

SP1	|------	miR-137	------|	C2orf57

SP1	|------	miR-137	------|	CADM2

SP1	|------	miR-137	------|	CALD1

SP1	|------	miR-137	------|	CALN1

SP1	|------	miR-137	------|	CDCA7L

SP1	|------	miR-137	------|	CHD9

SP1	|------	miR-137	------|	CHIC2

SP1	|------	miR-137	------|	CHST9

SP1	|------	miR-137	------|	CLDN11

SP1	|------	miR-137	------|	CNOT6L

SP1	|------	miR-137	------|	CPD

SP1	|------	miR-137	------|	CPLX1

SP1	|------	miR-137	------|	CTDSP2

SP1	|------	miR-137	------|	CTDSPL

SP1	|------	miR-137	------|	CTSF

SP1	|------	miR-137	------|	CXADR

SP1	|------	miR-137	------|	DAB2IP

SP1	|------	miR-137	------|	DCBLD2

SP1	|------	miR-137	------|	DCDC2

SP1	|------	miR-137	------|	DCUN1D1

SP1	|------	miR-137	------|	DCUN1D3

SP1	|------	miR-137	------|	DFFB

SP1	|------	miR-137	------|	DUSP1

SP1	|------	miR-137	------|	DUSP16

SP1	|------	miR-137	------|	DUSP4

SP1	|------	miR-137	------|	EFCAB14

SP1	|------	miR-137	------|	EGFR

SP1	|------	miR-137	------|	EIF1

SP1	|------	miR-137	------|	ELOVL2

SP1	|------	miR-137	------|	EPHA7

SP1	|------	miR-137	------|	FAM210B

SP1	|------	miR-137	------|	FANCM

SP1	|------	miR-137	------|	FBXO32

SP1	|------	miR-137	------|	FGD4

SP1	|------	miR-137	------|	FOXN3

SP1	|------	miR-137	------|	FUT9

SP1	|------	miR-137	------|	GAD2

SP1	|------	miR-137	------|	GFPT1

SP1	|------	miR-137	------|	GLRA3

SP1	|------	miR-137	------|	GRAMD3

SP1	|------	miR-137	------|	HIPK2

SP1	|------	miR-137	------|	HLF

SP1	|------	miR-137	------|	HMGCLL1

SP1	|------	miR-137	------|	HNRNPA3

SP1	|------	miR-137	------|	HOXA3

SP1	|------	miR-137	------|	HOXD10

SP1	|------	miR-137	------|	IMPA2

SP1	|------	miR-137	------|	INSR

SP1	|------	miR-137	------|	KANK4

SP1	|------	miR-137	------|	KCNH1

SP1	|------	miR-137	------|	KIT

SP1	|------	miR-137	------|	LIMCH1

SP1	|------	miR-137	------|	LUZP1

SP1	|------	miR-137	------|	NCOA1

SP1	|------	miR-137	------|	NFIB

SP1	|------	miR-137	------|	NFIX

SP1	|------	miR-137	------|	NLGN4X

SP1	|------	miR-137	------|	NOVA1

SP1	|------	miR-137	------|	NOVA2

SP1	|------	miR-137	------|	NPAS3

SP1	|------	miR-137	------|	NR3C2

SP1	|------	miR-137	------|	NRG1

SP1	|------	miR-137	------|	NSG1

SP1	|------	miR-137	------|	PADI2

SP1	|------	miR-137	------|	PAFAH1B2

SP1	|------	miR-137	------|	PAK3

SP1	|------	miR-137	------|	PAPPA

SP1	|------	miR-137	------|	PDE4D

SP1	|------	miR-137	------|	PDGFRA

SP1	|------	miR-137	------|	PDLIM3

SP1	|------	miR-137	------|	PLEKHA5

SP1	|------	miR-137	------|	PLK2

SP1	|------	miR-137	------|	PLXNB2

SP1	|------	miR-137	------|	PPP1CB

SP1	|------	miR-137	------|	PPP6C

SP1	|------	miR-137	------|	PPP6R3

SP1	|------	miR-137	------|	PROX1

SP1	|------	miR-137	------|	PTN

SP1	|------	miR-137	------|	QSER1

SP1	|------	miR-137	------|	RASAL2

SP1	|------	miR-137	------|	RIMS3

SP1	|------	miR-137	------|	RNF150

SP1	|------	miR-137	------|	RRAGD

SP1	|------	miR-137	------|	SBNO1

SP1	|------	miR-137	------|	SFXN5

SP1	|------	miR-137	------|	SHANK2

SP1	|------	miR-137	------|	SLAMF9

SP1	|------	miR-137	------|	SLC30A5

SP1	|------	miR-137	------|	SLC43A2

SP1	|------	miR-137	------|	SLC4A7

SP1	|------	miR-137	------|	SLMAP

SP1	|------	miR-137	------|	STAC2

SP1	|------	miR-137	------|	STC2

SP1	|------	miR-137	------|	STXBP5L

SP1	|------	miR-137	------|	SUB1

SP1	|------	miR-137	------|	SUGP2

SP1	|------	miR-137	------|	TDRD7

SP1	|------	miR-137	------|	TEAD1

SP1	|------	miR-137	------|	TGFA

SP1	|------	miR-137	------|	THRB

SP1	|------	miR-137	------|	TM4SF1

SP1	|------	miR-137	------|	TMEM132B

SP1	|------	miR-137	------|	TMF1

SP1	|------	miR-137	------|	TNC

SP1	|------	miR-137	------|	TRPC4

SP1	|------	miR-137	------|	TTC6

SP1	|------	miR-137	------|	TTC9

SP1	|------	miR-137	------|	UBE2H

SP1	|------	miR-137	------|	UBE3C

SP1	|------	miR-137	------|	UBXN2A

SP1	|------	miR-137	------|	VPS13A

SP1	|------	miR-137	------|	WIF1

